Feature Name,Honorees,City,County,State,Side,Symbol Type,Symbol Category,Sponsors,Year Dedicated,Year Removed,Tracking Status,,
Zebulon Vance Obelisk,Zebulon Baird Vance,Asheville,Buncombe,NC,South,Monument,Monument,Vance Monument Association,1897,,Live,,
Mitchell County's Confederate Dead,No specific honoree,Bakersville,Mitchell,NC,South,Monument,Courthouse Grounds,Sons of Confederate Veterans; Martha Reid Silver Confederate Memorial Association,2011,,Live,,
Pamlico County Confederate Monument,No specific honoree,Bayboro,Pamlico,NC,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1939,,Live,,
Lee Highway,Robert E. Lee,Walnut,Tippah,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jeff Davis Avenue,Jefferson Davis,Waveland,Hancock,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Wayne County Civil War Monument,No specific honoree,Waynesboro,Wayne,MS,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1911,,Live,,
Beauregard Road,Pierre Gustave Toutant-Beauregard,Wesson,Copiah,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Monument,No specific honoree,West Point,Clay,MS,South,Monument,Monument,United Daughters of the Confederacy,1907,,Live,,
Confederate Memorial Statue,No specific honoree,Winona,Montgomery,MS,South,Monument,Government Office Grounds,United Daughters of the Confederacy,1909,,Live,,
Confederate Monument,No specific honoree,Mount Pleasant,Maury,TN,South,Monument,Monument,Uknown,1907,,Live,,
Rose Hill,No specific honoree,Hugo,Choctaw,OK,Not Applicable,Monument,Monument,Uknown,,,Live,,
Jeff Lee Park and Pool,Robert E. Lee,McAlester,Pittsburg,OK,Not Applicable,Park,Parks/Trails,Uknown,,,Live,,
Lee Elementary School,Robert E. Lee,Pauls Valley,Garvin,OK,Not Applicable,School,Schools,Uknown,,,Live,,
Confederate Army Monument,No specific honoree,Purcell,McClain,OK,Not Applicable,Monument,Monument,United Daughters of the Confederacy,1906,,Live,,
Confederate Soldiers,No specific honoree,Rentiesville,McIntosh,OK,Not Applicable,Monument,Monument,United Daughters of the Confederacy; Oklahoma Historical Society,1983,,Live,,
City of Stonewall,Thomas Jonathan Stonewall Jackson,Stonewall,Pontotoc,OK,Not Applicable,City,County/Municipality,Uknown,1874,,Live,,
Stonewall Elementary School,Thomas Jonathan Stonewall Jackson,Stonewall,Pontotoc,OK,Not Applicable,School,Schools,Uknown,,,Live,,
Chester Confederate Monument,No specific honoree,Chester,Chester,SC,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1905,,Live,,
Old Stone Church Confederate Memorial,Thomas Jonathan Stonewall Jackson,Clemson,Pickens,SC,South,Monument,Monument,Uknown,,,Live,,
Beauregard Street,Pierre Gustave Toutant-Beauregard,Clinton,Laurens,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Clinton Confederate Monument,No specific honoree,Clinton,Laurens,SC,South,Monument,Monument,United Daughters of the Confederacy,1910,,Live,,
Davis Street,Jefferson Davis,Clinton,Laurens,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Forest Street [sic],Nathan Bedford Forrest,Clinton,Laurens,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Hampton Avenue,Wade Hampton,Clinton,Laurens,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jackson Street,Thomas Jonathan Stonewall Jackson,Clinton,Laurens,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Stewart [sic] Street,James Ewell Brown Jeb Stuart,Clinton,Laurens,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Stonewall Street,Thomas Jonathan Stonewall Jackson,Clinton,Laurens,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Beauregard Street,Pierre Gustave Toutant-Beauregard,Charleston,Kanawha,WV,Border,Highway / Roadway,Roads,Uknown,,,Live,,
Jackson Street,Thomas Jonathan Stonewall Jackson,Charleston,Kanawha,WV,Border,Highway / Roadway,Roads,Uknown,,,Live,,
Lee Street,Robert E. Lee,Charleston,Kanawha,WV,Border,Highway / Roadway,Roads,Uknown,,,Live,,
Stonewall Jackson Bust,Thomas Jonathan Stonewall Jackson,Charleston,Kanawha,WV,Border,Monument,Government Office Grounds,Uknown,1959,,Live,,
Stonewall Jackson Middle School,Thomas Jonathan Stonewall Jackson,Charleston,Kanawha,WV,Border,School,Schools,Uknown,1940,,Live,,
Stonewall Jackson Statue,Thomas Jonathan Stonewall Jackson,Charleston,Kanawha,WV,Border,Monument,Government Office Grounds,Uknown,1910,,Live,,
Stonewall Jackson monument,Thomas Jonathan Stonewall Jackson,Clarksburg,Harrison,WV,Border,Monument,Courthouse Grounds,United Daughters of the Confederacy,1953,,Live,,
General Lee Street,Robert E. Lee,Craigsville,Nicholas,WV,Border,Highway / Roadway,Roads,Uknown,,,Live,,
Robert E Lee Avenue,Robert E. Lee,Elkins,Randolph,WV,Border,Highway / Roadway,Roads,Uknown,,,Live,,
Stonewall Jackson Highway,Thomas Jonathan Stonewall Jackson,Flatwoods,Braxton,WV,Border,Highway / Roadway,Roads,Uknown,,,Live,,
J.E.B. Stuart Monument,James Ewell Brown Jeb Stuart,Richmond,Richmond City,VA,South,Monument,Monument,Uknown,1907,,Live,,
Jefferson Davis Highway Marker,Jefferson Davis,Richmond,Richmond City,VA,South,Monument,Monument,United Daughters of the Confederacy,1933,,Live,,
Jefferson Davis Monument,Jefferson Davis,Richmond,Richmond City,VA,South,Monument,Monument,Uknown,1907,,Live,,
Lee-Jackson Day,Robert E. Lee,Richmond,Richmond City,VA,South,Holiday,Holiday,Uknown,1889,,Live,,
Richmond Howitzers Monument,No specific honoree,Richmond,Richmond City,VA,South,Monument,Monument,Richmond Howitzer Association,1892,,Live,,
Robert E. Lee Commemorative License Plate,Robert E. Lee,Richmond,Richmond City,VA,South,Commemorative License Plate,Flags,Sons of Confederate Veterans,2008,,Live,,
Robert E. Lee Memorial Bridge,Robert E. Lee,Richmond,Richmond City,VA,South,Bridge,Roads,Uknown,1934,,Live,,
Robert E. Lee Monument,Robert E. Lee,Richmond,Richmond City,VA,South,Monument,Monument,Lee Monument Association,1890,,Live,,
Anderson Road,Richard Heron Anderson,Moss Point,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Barron Road,Samuel Barron,Moss Point,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Beauregard Road,Pierre Gustave Toutant-Beauregard,Moss Point,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Alexander Stephens Statue,Alexander Stephens,Washington,Washington,DC,North,Monument,,State of Georgia,1927,,Live,,
Edmund Kirby Smith Statue,Edmund Kirby Smith,Washington,Washington,DC,North,Monument,,State of Florida,1922,,Live,,
Fighting Joe Wheeler Statue,Joseph Wheeler,Washington,Washington,DC,North,Monument,Government Office Grounds,State of Alabama,1925,,Live,,
James Z. George Statue,James Zachariah George,Washington,Washington,DC,North,Monument,,state of Mississippi,1931,,Live,,
Jefferson Davis Senate Desk reserved for Senior Senator of Mississippi,Jefferson Davis,Washington,Washington,DC,North,Monument,Monument,Mississippi Senator Thad Cochran,,,Live,,
Jefferson Davis Statue,Jefferson Davis,Washington,Washington,DC,North,Monument,,state of Mississippi,1931,,Live,,
Robert E. Lee Statue,Robert E. Lee,Washington,Washington,DC,North,Monument,,Commonwealth of Virginia,1909,,Live,,
York County Confederate Monument,No specific honoree,York,York,SC,South,Monument,Monument,United Daughters of the Confederacy,1906,,Live,,
Gettysburg police uniforms,No specific honoree,Gettysburg,Potter,SD,Not Applicable,Seal,Flags,Uknown,2009,,Live,,
Confederate Memorial,No specific honoree,Altamont,Grundy,TN,South,Monument,Monument,Sons of Confederate Veterans,,,Live,,
Confederate Monument,No specific honoree,Blountville,Sullivan,TN,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1928,,Live,,
Jackson Street,Thomas Jonathan Stonewall Jackson,Bolivar,Hardeman,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate statue,No specific honoree,Salem,Salem City,VA,South,Monument,Monument,United Daughters of the Confederacy,1909,,Live,,
Robert E. Lee Elementary School,Robert E. Lee,Spotsylvania,Spotsylvania,VA,South,School,Schools,Uknown,1952,,Live,,
Robert E. Lee High School,Robert E. Lee,Springfield,Fairfax,VA,South,School,Schools,Uknown,1958,,Live,,
Beauregard Drive,Pierre Gustave Toutant-Beauregard,Staunton,Staunton City,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
J.E.B. Stuart Drive,James Ewell Brown Jeb Stuart,Staunton,Staunton City,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Stonewall Jackson Boulevard,Thomas Jonathan Stonewall Jackson,Staunton,Staunton City,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
City of Stuart,James Ewell Brown Jeb Stuart,Stuart,Patrick,VA,South,City,County/Municipality,Uknown,1884,,Live,,
Robert E. Lee Street,Robert E. Lee,Fort Oglethorpe,Catoosa,GA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Shelby Street,Joseph Shelby,Fort Oglethorpe,Catoosa,GA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Tennessee Cavalry Monument,No specific honoree,Fort Oglethorpe,Catoosa,GA,South,Monument,Monument,State of Tennessee,1895,,Live,,
Heard County Confederate Monument,No specific honoree,Franklin,Heard,GA,South,Monument,Monument,United Daughters of the Confederacy,1999,,Live,,
Jeff Davis Road,Jefferson Davis,Franklin,Heard,GA,South,Highway / Roadway,Roads,Uknown,,,Live,,
General James Longstreet Monument,James Longstreet,Gainesville,Hall,GA,South,Monument,Monument,United Daughters of the Confederacy,,,Live,,
Hall County Confederate Monument (Old Joe),No specific honoree,Gainesville,Hall,GA,South,Monument,Monument,United Daughters of the Confederacy,1909,,Live,,
Jefferson Davis Highway Marker,Jefferson Davis,Grantville,Coweta,GA,South,Monument,Monument,Uknown,,,Live,,
Greene County Confederate Monument,No specific honoree,Greensboro,Greene,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy; Ladies Memorial Association,1898,,Live,,
Jefferson Davis Highway Marker,Jefferson Davis,Greensboro,Greene,GA,South,Monument,Monument,United Daughters of the Confederacy,,,Live,,
Monument to the Memory of Fallen Confederate Sons,No specific honoree,Bolivar,Hardeman,TN,South,Monument,Courthouse Grounds,Hardeman County,1873,,Live,,
J.E.B. Stuart and Confederate Soldiers of Patrick County Monument,James Ewell Brown Jeb Stuart,Stuart,Patrick,VA,South,Monument,Courthouse Grounds,Junior Stuart Book Club,1936,,Live,,
General Forrest Court,Nathan Bedford Forrest,Brentwood,Williamson,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jefferson Davis Court,Jefferson Davis,Brentwood,Williamson,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jefferson Davis Drive,Jefferson Davis,Brentwood,Williamson,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Robert E Lee Drive,Robert E. Lee,Brentwood,Williamson,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Bragg Road,Braxton Bragg,Moss Point,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Breckinridge Road,John C. Breckinridge,Moss Point,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Cleburne Road,Patrick Cleburne,Moss Point,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Early Road,Jubal Anderson Early,Moss Point,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Ewell Road,Richard Stoddert Ewell,Moss Point,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Forrest Road,Nathan Bedford Forrest,Moss Point,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Hood Road,John Bell Hood,Moss Point,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jackson Street,Thomas Jonathan Stonewall Jackson,Alvin,Brazoria,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
Johnson Street,Joseph Eggleston Johnston,Alvin,Brazoria,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
Lee Street,Robert E. Lee,Alvin,Brazoria,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
Taylor Street,Richard Taylor,Alvin,Brazoria,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Monument,No specific honoree,Amarillo,Potter,TX,South,Monument,Monument,United Daughters of the Confederacy,1931,,Live,,
Stonewall County,Thomas Jonathan Stonewall Jackson,Aspermont,Stonewall,TX,South,County/Municipality,County/Municipality,Uknown,1888,,Live,,
Confederate Heroes Day,No specific honoree,Austin,Travis,TX,South,Holiday,Holiday,Uknown,,,Live,,
Beauregard Drive,Pierre Gustave Toutant-Beauregard,Salisbury,Rowan,NC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Avenue,No specific honoree,Salisbury,Rowan,NC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Soldiers Monument,No specific honoree,Salisbury,Rowan,NC,South,Monument,Monument,United Daughters of the Confederacy,1909,,Live,,
Stonewall Road,Thomas Jonathan Stonewall Jackson,Salisbury,Rowan,NC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Stuart Street,James Ewell Brown Jeb Stuart,Salisbury,Rowan,NC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Lee County,Robert E. Lee,Sanford,Lee,NC,South,County/Municipality,County/Municipality,Uknown,1907,,Live,,
Old Jefferson Davis Highway,Jefferson Davis,Sanford,Lee,NC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Robert E. Lee Drive,Robert E. Lee,Sanford,Lee,NC,South,Highway / Roadway,Roads,Uknown,,,Live,,
The Last Grand Review,No specific honoree,Selma,Johnston,NC,South,Monument,Monument,Sons of Confederate Veterans,1990,,Live,,
Confederate Soldiers Monument,No specific honoree,Shelby,Cleveland,NC,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1906,,Live,,
Confederate Monument,No specific honoree,Livingston,Sumter,AL,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1909,,Live,,
Forrest Drive,Nathan Bedford Forrest,Livingston,Sumter,AL,South,Highway / Roadway,Roads,Uknown,,,Live,,
Hood Street,John Bell Hood,Livingston,Sumter,AL,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jefferson Davis Drive,Jefferson Davis,Livingston,Sumter,AL,South,Highway / Roadway,Roads,Uknown,,,Live,,
Lee Street,Robert E. Lee,Livingston,Sumter,AL,South,Highway / Roadway,Roads,Uknown,,,Live,,
Longstreet Drive,James Longstreet,Livingston,Sumter,AL,South,Highway / Roadway,Roads,Uknown,,,Live,,
Morgan Drive,John Hunt Morgan,Livingston,Sumter,AL,South,Highway / Roadway,Roads,Uknown,,,Live,,
Stonewall Street,Thomas Jonathan Stonewall Jackson,Livingston,Sumter,AL,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Memorial Park,No specific honoree,Marbury,Autauga,AL,South,Park,Parks/Trails,State of Alabama,1964,,Live,,
Confederate Parkway,No specific honoree,McCalla,Tuscaloosa,AL,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Private Monument,No specific honoree,Nashville,Davidson,TN,South,Monument,Monument,United Confederate Veterans,1909,,Live,,
Confederate Women,No specific honoree,Nashville,Davidson,TN,South,Monument,Courthouse Grounds,State of Tennessee,1926,,Live,,
Nathan Bedford Forrest Bust,Nathan Bedford Forrest,Nashville,Davidson,TN,South,Monument,Government Office Grounds,Uknown,1978,,Live,,
Nathan Bedford Forrest Day,Nathan Bedford Forrest,Nashville,Davidson,TN,South,Holiday,Holiday,Uknown,,,Live,,
Robert E. Lee Day,Robert E. Lee,Nashville,Davidson,TN,South,Holiday,Holiday,State of Tennessee,2017,,Live,,
Sam Davis Statue,Sam Davis,Nashville,Davidson,TN,South,Monument,Government Office Grounds,Uknown,1909,,Live,,
Sons of Confederate Veterans Commemorative License Plate,No specific honoree,Nashville,Davidson,TN,South,Commemorative License Plate,Flags,Sons of Confederate Veterans,,,Live,,
UDC Anniversary Plaque,No specific honoree,Nashville,Davidson,TN,South,Plaque,Government Office Grounds,United Daughters of the Confederacy,,,Live,,
Robert E. Lee Drive,Robert E. Lee,Newport,Cocke,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jeff Davis Street,Jefferson Davis,Hazlehurst,Jeff Davis,GA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jefferson Davis Bust,Jefferson Davis,Hazlehurst,Jeff Davis,GA,South,Monument,Courthouse Grounds,Sons of Confederate Veterans,,,Live,,
Liberty County Confederate Monument,No specific honoree,Hinesville,Liberty,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1928,,Live,,
Jefferson Davis Memorial,Jefferson Davis,Irwinville,Irwin,GA,South,Monument,Monument,United Daughters of the Confederacy,1935,,Live,,
Monument to Butts County Confederate Soldiers,No specific honoree,Jackson,Butts,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1911,,Live,,
Jackson County Confederate Monument,Thomas Jonathan Stonewall Jackson,Jefferson,Jackson,GA,South,Monument,Monument,United Daughters of the Confederacy,1911,,Live,,
Twiggs County Confederate Monument,No specific honoree,Jeffersonville,Twiggs,GA,South,Monument,Monument,United Daughters of the Confederacy,1911,,Live,,
Jeb Stuart Drive,James Ewell Brown Jeb Stuart,Jonesboro,Clayton,GA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jeff Davis Drive,Jefferson Davis,Jonesboro,Clayton,GA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Robert E. Lee Parkway,Robert E. Lee,Jonesboro,Clayton,GA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Fort Humbug Confederate Memorial,No specific honoree,Shreveport,Caddo,LA,South,Monument,Monument,Louisiana Army National Guard,2006,,Live,,
Confederate Monument,No specific honoree,St. Francisville,West Feliciana,LA,South,Monument,Courthouse Grounds,Uknown,1903,,Live,,
City of Stonewall,Thomas Jonathan Stonewall Jackson,Stonewall,DeSoto,LA,South,City,County/Municipality,Uknown,1862,,Live,,
Confederate Monument,No specific honoree,Tallulah,Madison,LA,South,Monument,Courthouse Grounds,Uknown,1890,,Live,,
Nicholls State University,Francis T. Nicholls,Thibodaux,Lafourche,LA,South,College,Schools,Uknown,1948,,Live,,
P.G.T. Beauregard Hall at Nicholls State University,Pierre Gustave Toutant-Beauregard,Thibodaux,Lafourche,LA,South,Building,Buildings,Uknown,1961,,Live,,
Confederate Monument,No specific honoree,Winnfield,Winn,LA,South,Monument,Courthouse Grounds,Uknown,1926,,Live,,
Maryland, My Maryland state song,No specific honoree,Annapolis,Anne Arundel,MD,Border,Song,Song,State of Maryland,1939,,Live,
Robert E. Lee Lane,Robert E. Lee,Brentwood,Williamson,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Monument,No specific honoree,Brownsville,Haywood,TN,South,Monument,Courthouse Grounds,Uknown,1909,,Live,,
Forrest High School,Nathan Bedford Forrest,Chapel Hill,Marshall,TN,South,School,Schools,Uknown,,,Live,,
Confederate Monument,No specific honoree,Charlotte,Dickson,TN,South,Monument,Courthouse Grounds,Sons of Confederate Veterans,2001,,Live,,
Alexander P. Stewart Monument,Alexander P. Stewart,Chattanooga,Hamilton,TN,South,Monument,Monument,United Daughters of the Confederacy,1919,,Live,,
Confederate Monument,No specific honoree,Cleveland,Bradley,TN,South,Monument,Monument,United Daughters of the Confederacy,1910,,Live,,
Forrest Avenue,Nathan Bedford Forrest,Clifton,Wayne,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Neuse Street,No specific honoree,Clifton,Wayne,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Talbot Boys Monument,No specific honoree,Easton,Talbot,MD,Border,Monument,Monument,United Confederate Veterans,1916,,Live,,
Jeff Davis Drive,Jefferson Davis,Fayetteville,Fayette,GA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jefferson Davis Historic Site,Jefferson Davis,Fitzgerald,Ben Hill,GA,South,Park,Parks/Trails,Works Progress Administration,1939,,Live,,
Jefferson Davis Monument,Jefferson Davis,Fitzgerald,Ben Hill,GA,South,Monument,Monument,State of Georgia,,,Live,,
Hood Avenue,John Bell Hood,Forest Park,Clayton,GA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Wheeler Drive,Joseph Wheeler,Forest Park,Clayton,GA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Monument,No specific honoree,Forsyth,Forsyth,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy; Ladies Memorial Association,1907,,Live,,
Fort Benning,Henry Lewis Benning,Fort Benning,Chattahoochee,GA,South,Military Base,Buildings,Uknown,1918,,Live,,
Fort Gordon,John Brown Gordon,Fort Gordon,Richmond,GA,South,Military Base,Buildings,Uknown,1917,,Live,,
Forrest Road,Nathan Bedford Forrest,Fort Oglethorpe,Catoosa,GA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Polk Circle,Leonidas Polk,Fort Oglethorpe,Catoosa,GA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Drayton Street,Thomas Fenwick Drayton,Columbia,Richland,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Early Street,Jubal Anderson Early,Columbia,Richland,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Elliot Street,Stephen Elliott,Columbia,Richland,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Ewell Road,Richard Stoddert Ewell,Columbia,Richland,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Ferguson Street,Champ Ferguson,Columbia,Richland,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Forest St [sic],Nathan Bedford Forrest,Columbia,Richland,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Forney Road,John Horace Forney,Columbia,Richland,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Garnett Street,Richard B. Garnett,Columbia,Richland,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Greene Avenue,Colton Greene,Columbia,Richland,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Gregg Street,John Gregg,Columbia,Richland,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Robert Lee High School,Robert E. Lee,Robert Lee,Coke,TX,South,School,Schools,Uknown,,,Live,,
Robert Lee Avenue,Robert E. Lee,Roma,Starr,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
B. F. Terry Boulevard,Benjamin Franklin Terry,Rosenberg,Fort Bend,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
B. F. Terry High School,Benjamin Franklin Terry,Rosenberg,Fort Bend,TX,South,School,Schools,Uknown,1980,,Live,,
Confederate Monument,No specific honoree,Rusk,Cherokee,TX,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1907,,Live,,
Dick Dowling Monument,Richard W. Dowling,Sabine Pass,Jefferson,TX,South,Monument,Monument,United Daughters of the Confederacy,1937,,Live,,
Dowling Road,Richard W. Dowling,Sabine Pass,Jefferson,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
Beauregard Avenue,Pierre Gustave Toutant-Beauregard,San Angelo,Tom Green,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
Reagan Elementary School,John Henninger Reagan,San Angelo,Tom Green,TX,South,School,Schools,Uknown,,,Live,,
Robert E. Lee Middle School,Robert E. Lee,San Angelo,Tom Green,TX,South,School,Schools,Uknown,1949,,Live,,
Evans Road,Clement A. Evans; Nathan George Evans,Charleston,Charleston,South Carolina,South,Roads,Roads,Uknown,,,Live,,
Evans Street,Clement A. Evans; Nathan George Evans,Columbia,Richland,South Carolina,South,Roads,Roads,Uknown,,,Live,,
Lee Davis High School,Robert E. Lee; Jefferson Davis,Mechanicsville,Hanover,Virginia,South,School,Schools,Uknown,1959,,Live,,
Stone Mountain Confederate Memorial Carving,Robert E. Lee; Thomas Jonathan Stonewall Jackson; Jefferson Davis,Stone Mountain,DeKalb,Georgia,South,Monument,Monument,United Daughters of the Confederacy; Stone Mountain Memorial Association,1972,,Live,,
Comal County Confederate Monument,,New Braunfels,,TX,Not Applicable,Monument,,,,,Live,,
Bankhead Train Station (MARTA),,Atlanta,Fulton,GA,Not Applicable,Other,,,1992,,Live,,
Jefferson Davis Highway,,Elgin,,TX,Not Applicable,Marker,,,1937,,Live,,
Ashby Train Station (MARTA),,Atlanta,Fulton,GA,Not Applicable,Other,,,,,Live,,
George Mason Elementary School,,Church Hill,,VA,Not Applicable,School,Schools,,,2019,Live,,
Amelia Street Elementary School,,West End,,VA,Not Applicable,School,Schools,,,2019,Live,,
Greene Elementary School,,Southside,,VA,Not Applicable,School,Schools,,,2019,Live,,
Venable Street,,Stone Mountain,DeKalb,GA,Not Applicable,Roads,Roads,,,,Live,,
Confederate General Marker 1,,Franklin,Williamson,TN,Not Applicable,Marker,Roads,Unknown,1970,2019,Live,,
Confederate General Marker 2,,Franklin,Williamson,TN,Not Applicable,Marker,Roads,,1970,2019,Live,,
Confederate General Marker 3,,Franklin,Williamson,TN,Not Applicable,Marker,Roads,,1970,2019,Live,,
Confederate General Marker 6,,Franklin,Williamson,TN,Not Applicable,Marker,Roads,,1970,2019,Live,,
Confederate General Marker 4,,Franklin,Williamson,TN,Not Applicable,Marker,Roads,,1970,2019,Live,,
Confederate General Marker 5,,Franklin,Williamson,TN,Not Applicable,Marker,Roads,,1970,2019,Live,,
Civil War Plaque 2,,Martha's Vineyard,,MA,Not Applicable,Plaque,Monument,,,2019,Live,,
Civil War Plaque 1,,Martha's Vineyard,,MA,Not Applicable,Plaque,Monument,,,2019,Live,,
Stuart Road,James Ewell Brown Jeb Stuart,Farmville,Cumberland,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Virginia Defenders of State Sovereignty Confederate Soldier,No specific honoree,Farmville,Prince Edward,VA,South,Monument,Monument,United Daughters of the Confederacy; Confederate veterans,1900,,Live,,
Confederate Monument,No specific honoree,Fincastle,Botetourt,VA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1904,,Live,,
Confederate Monument,No specific honoree,Floyd,Floyd,VA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1904,,Live,,
Fort A.P. Hill,A.P. Hill,Fort A.P. Hill,Caroline,VA,South,Military Base,Buildings,U.S. Army,1941,,Live,,
Fort Lee,Robert E. Lee,Fort Lee,Prince George,VA,South,Military Base,Buildings,U.S. Army,1917,,Live,,
Fort Pickett,George Pickett,Fort Pickett,Nottoway,VA,South,Military Base,Buildings,Virginia Army National Guard,1942,,Live,,
Robert E. Lee Drive,Robert E. Lee,Foster,Mathews,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Monument,No specific honoree,Franklin,Franklin City,VA,South,Monument,Monument,United Daughters of the Confederacy,1911,,Live,,
Confederate Monument,No specific honoree,Fredericksburg,Fredericksburg City,VA,South,Monument,Monument,Sons of Confederate Veterans,2009,,Live,,
Lee Street,Robert E. Lee,Bishopville,Lee,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Monument to the Confederate Dead,No specific honoree,Bishopville,Lee,SC,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1913,,Live,,
Robert E Lee Lane,Robert E. Lee,Bluffton,Beaufort,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate War Memorial,No specific honoree,Camden,Kershaw,SC,South,Monument,Monument,Ladies Memorial Association,1883,,Live,,
Hampton Street,Wade Hampton,Camden,Kershaw,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Lee Court,Robert E. Lee,Camden,Kershaw,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Lee Street,Robert E. Lee,Camden,Kershaw,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
